x y
565.0000 575.0000
520.0000 585.0000
420.0000 555.0000
415.0000 635.0000
345.0000 750.0000
145.0000 665.0000
300.0000 465.0000
95.0000 260.0000
25.0000 230.0000
25.0000 185.0000
410.0000 250.0000
480.0000 415.0000
560.0000 365.0000
595.0000 360.0000
660.0000 180.0000
725.0000 370.0000
830.0000 485.0000
700.0000 500.0000
700.0000 580.0000
685.0000 595.0000
685.0000 610.0000
720.0000 635.0000
760.0000 650.0000
770.0000 610.0000
795.0000 645.0000
830.0000 610.0000
835.0000 625.0000
845.0000 655.0000
845.0000 680.0000
880.0000 660.0000
945.0000 685.0000
975.0000 580.0000
1220.0000 580.0000
1250.0000 400.0000
1320.0000 315.0000
1215.0000 245.0000
1170.0000 65.0000
1465.0000 200.0000
1530.0000 5.0000
1740.0000 245.0000
1605.0000 620.0000
1340.0000 725.0000
1150.0000 1160.0000
875.0000 920.0000
650.0000 1130.0000
580.0000 1175.0000
525.0000 1000.0000
475.0000 960.0000
510.0000 875.0000
555.0000 815.0000
575.0000 665.0000
605.0000 625.0000
565.0000 575.0000
