x y
1380.0000 939.0000
1393.0000 1368.0000
1787.0000 1009.0000
1795.0000 962.0000
1917.0000 687.0000
2097.0000 981.0000
2421.0000 1007.0000
2482.0000 1183.0000
2586.0000 1286.0000
2574.0000 946.0000
2599.0000 901.0000
2573.0000 599.0000
2863.0000 558.0000
2991.0000 792.0000
3113.0000 885.0000
3022.0000 474.0000
2936.0000 337.0000
2588.0000 302.0000
2542.0000 236.0000
2519.0000 135.0000
2848.0000 96.0000
3416.0000 143.0000
3640.0000 43.0000
3815.0000 169.0000
3893.0000 102.0000
3913.0000 192.0000
3875.0000 598.0000
3888.0000 666.0000
3854.0000 923.0000
3822.0000 899.0000
3756.0000 882.0000
3479.0000 821.0000
3520.0000 1079.0000
3874.0000 1318.0000
3950.0000 1558.0000
3955.0000 1743.0000
3911.0000 1673.0000
3683.0000 1533.0000
3510.0000 1671.0000
3447.0000 1830.0000
3373.0000 1646.0000
3384.0000 1498.0000
3085.0000 1528.0000
2961.0000 1605.0000
2945.0000 1622.0000
2721.0000 1482.0000
2716.0000 1432.0000
2628.0000 1479.0000
2576.0000 1676.0000
2728.0000 1698.0000
2678.0000 1825.0000
2597.0000 1830.0000
2573.0000 1969.0000
2290.0000 1810.0000
2139.0000 1806.0000
2178.0000 1619.0000
1807.0000 1711.0000
1724.0000 1642.0000
1625.0000 1651.0000
1621.0000 1830.0000
1424.0000 1728.0000
1251.0000 1832.0000
1247.0000 1945.0000
1234.0000 1946.0000
890.0000 1846.0000
929.0000 1766.0000
928.0000 1700.0000
872.0000 1559.0000
738.0000 1325.0000
611.0000 1384.0000
463.0000 1670.0000
198.0000 1810.0000
298.0000 1513.0000
274.0000 1420.0000
252.0000 1240.0000
22.0000 987.0000
161.0000 906.0000
123.0000 862.0000
53.0000 857.0000
19.0000 674.0000
241.0000 341.0000
178.0000 24.0000
327.0000 265.0000
457.0000 334.0000
776.0000 392.0000
953.0000 268.0000
1178.0000 100.0000
1256.0000 61.0000
1429.0000 134.0000
1323.0000 280.0000
1286.0000 525.0000
1187.0000 706.0000
839.0000 620.0000
611.0000 673.0000
376.0000 825.0000
378.0000 1048.0000
742.0000 1025.0000
938.0000 955.0000
984.0000 965.0000
1115.0000 1052.0000
1380.0000 939.0000
