x y
200.0000 400.0000
0.0000 0.0000
600.0000 400.0000
700.0000 300.0000
800.0000 300.0000
900.0000 300.0000
1000.0000 300.0000
1100.0000 300.0000
1200.0000 300.0000
1300.0000 300.0000
1400.0000 300.0000
1550.0000 300.0000
1710.0000 310.0000
1800.0000 300.0000
1900.0000 300.0000
2000.0000 370.0000
2000.0000 300.0000
2100.0000 300.0000
2200.0000 300.0000
2300.0000 300.0000
2400.0000 300.0000
2500.0000 300.0000
2600.0000 400.0000
2600.0000 500.0000
2550.0000 710.0000
2700.0000 800.0000
2700.0000 700.0000
2750.0000 520.0000
2900.0000 400.0000
2900.0000 500.0000
3000.0000 700.0000
3000.0000 800.0000
3000.0000 900.0000
2930.0000 950.0000
2800.0000 900.0000
2700.0000 900.0000
2700.0000 1000.0000
2600.0000 1000.0000
2600.0000 1100.0000
2700.0000 1200.0000
2700.0000 1300.0000
2700.0000 1400.0000
2700.0000 1500.0000
2700.0000 1600.0000
2700.0000 1700.0000
2700.0000 1800.0000
2700.0000 1900.0000
2700.0000 2000.0000
2600.0000 2100.0000
2700.0000 2100.0000
2700.0000 2200.0000
2700.0000 2300.0000
2760.0000 2360.0000
2850.0000 2200.0000
3000.0000 2300.0000
3000.0000 2200.0000
3000.0000 2100.0000
2950.0000 2050.0000
3000.0000 2000.0000
3000.0000 1900.0000
3000.0000 1800.0000
2950.0000 1750.0000
3000.0000 1700.0000
3000.0000 1600.0000
3000.0000 1500.0000
2900.0000 1400.0000
3000.0000 1300.0000
3000.0000 1200.0000
3000.0000 1100.0000
3000.0000 1000.0000
2800.0000 1130.0000
2700.0000 1100.0000
2600.0000 900.0000
2600.0000 800.0000
2500.0000 800.0000
2450.0000 710.0000
2400.0000 600.0000
2300.0000 600.0000
2200.0000 600.0000
2200.0000 469.0000
2100.0000 600.0000
2000.0000 600.0000
1900.0000 600.0000
1800.0000 600.0000
1710.0000 510.0000
1550.0000 500.0000
1400.0000 600.0000
1300.0000 600.0000
1200.0000 600.0000
1100.0000 600.0000
1000.0000 600.0000
900.0000 600.0000
850.0000 520.0000
750.0000 490.0000
700.0000 600.0000
800.0000 600.0000
850.0000 700.0000
939.0000 740.0000
800.0000 1030.0000
1000.0000 1100.0000
1050.0000 1050.0000
1300.0000 1130.0000
1400.0000 930.0000
1650.0000 1050.0000
1600.0000 1100.0000
1700.0000 1200.0000
1800.0000 1230.0000
1600.0000 1300.0000
1350.0000 1700.0000
1200.0000 1700.0000
1000.0000 1629.0000
1150.0000 1350.0000
1100.0000 900.0000
1100.0000 700.0000
1300.0000 700.0000
1350.0000 750.0000
1450.0000 770.0000
1750.0000 750.0000
2000.0000 800.0000
2000.0000 900.0000
2000.0000 1000.0000
2000.0000 1100.0000
2000.0000 1200.0000
2000.0000 1300.0000
2000.0000 1400.0000
2000.0000 1500.0000
2000.0000 1600.0000
2060.0000 1650.0000
2000.0000 1700.0000
2000.0000 1800.0000
2000.0000 1900.0000
2000.0000 2000.0000
2000.0000 2100.0000
2110.0000 2000.0000
2170.0000 1900.0000
2320.0000 1500.0000
2290.0000 1400.0000
2390.0000 1300.0000
2600.0000 1200.0000
2600.0000 1300.0000
2600.0000 1400.0000
2600.0000 1500.0000
2600.0000 1600.0000
2600.0000 1700.0000
2600.0000 1800.0000
2600.0000 1900.0000
2600.0000 2000.0000
2400.0000 2100.0000
2600.0000 2200.0000
2600.0000 2300.0000
2600.0000 2400.0000
2600.0000 2500.0000
2700.0000 2500.0000
2900.0000 2400.0000
3000.0000 2500.0000
3000.0000 2600.0000
3000.0000 2700.0000
3000.0000 2800.0000
3000.0000 2900.0000
2850.0000 2700.0000
2700.0000 2600.0000
2600.0000 2600.0000
2600.0000 2700.0000
2700.0000 2700.0000
2600.0000 2800.0000
2700.0000 2800.0000
2700.0000 2900.0000
2700.0000 3000.0000
2600.0000 2900.0000
2600.0000 3000.0000
2600.0000 3100.0000
2700.0000 3200.0000
2700.0000 3100.0000
2900.0000 3000.0000
3000.0000 3000.0000
3000.0000 3100.0000
3000.0000 3200.0000
3000.0000 3300.0000
3000.0000 3400.0000
3000.0000 3500.0000
3000.0000 3600.0000
3000.0000 3700.0000
3000.0000 3800.0000
2700.0000 3800.0000
2700.0000 3700.0000
2620.0000 3650.0000
2700.0000 3600.0000
2700.0000 3500.0000
2600.0000 3400.0000
2700.0000 3400.0000
2850.0000 3350.0000
2700.0000 3300.0000
2320.0000 3150.0000
2280.0000 3250.0000
2300.0000 3400.0000
2300.0000 3500.0000
2000.0000 3500.0000
1900.0000 3520.0000
1829.0000 3450.0000
1790.0000 3330.0000
1720.0000 3409.0000
1700.0000 3600.0000
1600.0000 3600.0000
1500.0000 3600.0000
1400.0000 3600.0000
1300.0000 3600.0000
1200.0000 3600.0000
1100.0000 3600.0000
1000.0000 3600.0000
900.0000 3600.0000
800.0000 3600.0000
700.0000 3600.0000
620.0000 3650.0000
620.0000 3709.0000
400.0000 3600.0000
400.0000 3500.0000
469.0000 3450.0000
400.0000 3400.0000
400.0000 3300.0000
469.0000 3350.0000
700.0000 3300.0000
800.0000 3300.0000
900.0000 3300.0000
1000.0000 3300.0000
1100.0000 3300.0000
1200.0000 3300.0000
1300.0000 3300.0000
1400.0000 3300.0000
1500.0000 3300.0000
1600.0000 3300.0000
1600.0000 3000.0000
1500.0000 3000.0000
1500.0000 2860.0000
1500.0000 2800.0000
1400.0000 2820.0000
1400.0000 2900.0000
