x y
4475.0000 8657.0000
4575.0000 8425.0000
5475.0000 8650.0000
5775.0000 8650.0000
6075.0000 8650.0000
6375.0000 8650.0000
6675.0000 8650.0000
6875.0000 8650.0000
7600.0000 9025.0000
7975.0000 9075.0000
8350.0000 9025.0000
8500.0000 8225.0000
8500.0000 7475.0000
8125.0000 7525.0000
7750.0000 7475.0000
6850.0000 7275.0000
6600.0000 7275.0000
6550.0000 7625.0000
6350.0000 7275.0000
6100.0000 7275.0000
6100.0000 6675.0000
6350.0000 6675.0000
6600.0000 6675.0000
6850.0000 6675.0000
7100.0000 5425.0000
7100.0000 5275.0000
7700.0000 4725.0000
7100.0000 4675.0000
7100.0000 4875.0000
7100.0000 5075.0000
6475.0000 5475.0000
6475.0000 5275.0000
6475.0000 4875.0000
6475.0000 4675.0000
6375.0000 3375.0000
6000.0000 3375.0000
5425.0000 3300.0000
5425.0000 3000.0000
5425.0000 2400.0000
5425.0000 2100.0000
5425.0000 1800.0000
6000.0000 2375.0000
6375.0000 2375.0000
6925.0000 1800.0000
6925.0000 2100.0000
6925.0000 2400.0000
6925.0000 2700.0000
6925.0000 3000.0000
6925.0000 3300.0000
7700.0000 3725.0000
7850.0000 3700.0000
11000.0000 3600.0000
11650.0000 3350.0000
12850.0000 2425.0000
13585.0000 1975.0000
13585.0000 2131.0000
13585.0000 2287.0000
13585.0000 2443.0000
13585.0000 2599.0000
13585.0000 2755.0000
13585.0000 2911.0000
13585.0000 3067.0000
13585.0000 3223.0000
13585.0000 3379.0000
12825.0000 3800.0000
13100.0000 4625.0000
11725.0000 4825.0000
11000.0000 4600.0000
11025.0000 4750.0000
11125.0000 5350.0000
12500.0000 5950.0000
13325.0000 6100.0000
13585.0000 9615.0000
13585.0000 9771.0000
13585.0000 9927.0000
13585.0000 10083.0000
13585.0000 10239.0000
13585.0000 10395.0000
13585.0000 10551.0000
13585.0000 10707.0000
13585.0000 10863.0000
13585.0000 11019.0000
12963.0000 11225.0000
12807.0000 11225.0000
12651.0000 11225.0000
12495.0000 11225.0000
12339.0000 11225.0000
12183.0000 11225.0000
12027.0000 11225.0000
11871.0000 11225.0000
11715.0000 11225.0000
11559.0000 11225.0000
11403.0000 11225.0000
11247.0000 11225.0000
11091.0000 11225.0000
10935.0000 11225.0000
10779.0000 11225.0000
10623.0000 11225.0000
10467.0000 11225.0000
10311.0000 11225.0000
10155.0000 11225.0000
9999.0000 11225.0000
9843.0000 11225.0000
9687.0000 11225.0000
9531.0000 11225.0000
9375.0000 11225.0000
11175.0000 9800.0000
11275.0000 9475.0000
11275.0000 9175.0000
10650.0000 9400.0000
10375.0000 9525.0000
9475.0000 10275.0000
9275.0000 10050.0000
8350.0000 9775.0000
6975.0000 9750.0000
6675.0000 9750.0000
6375.0000 9750.0000
6075.0000 9750.0000
5775.0000 9750.0000
5475.0000 9750.0000
5450.0000 10475.0000
4475.0000 9719.0000
4475.0000 9407.0000
4475.0000 8969.0000
4475.0000 8657.0000
